id,eje,subfila_de,indicador,escala,base_anio,base_anio_texto,base_valor,meta_2015,meta_2020,meta_2025,meta_2030,anios_sin_meta_numerica
1.1,1,,Confianza en los partidos políticos,numerica,2010,,22.2,24.7,27.1,33.6,40.1,
1.2,1,,Índice de percepción de la corrupción (IPC),numerica,2010,,3.0,3.9,4.8,5.9,7.0,
1.3,1,,Índice de fortaleza institucional,numerica,2010,,3.2,3.6,4.0,4.5,5.0,
1.4,1,,Índice de desarrollo burocrático,numerica,2006,,0.38,0.54,0.7,0.8,0.9,
1.5,1,,Tasa de solución de casos Sistema Judicial,sin_meta,,,,,,,,
1.5·Juzgados de la Instrucción,1,1.5,Juzgados de la Instrucción,numerica,2009,,75.0,80.5,85.0,90.0,95.0,
1.5·Juzgados 1ra. Instancia,1,1.5,Juzgados 1ra. Instancia,numerica,2009,,83.0,86.3,89.0,92.0,95.0,
1.5·Cortes de apelación penal,1,1.5,Cortes de apelación penal,numerica,2009,,67.0,74.1,80.0,85.0,90.0,
1.6,1,,Efectividad general de la acusación Sistema Judicial,sin_meta,,,,,,,,
1.6·Juzgados de la Instrucción,1,1.6,Juzgados de la Instrucción,numerica,2009,,79.0,82.3,85.0,87.5,90.0,
1.6·Juzgados 1ra. Instancia,1,1.6,Juzgados 1ra. Instancia,numerica,2009,,74.0,78.4,82.0,86.0,90.0,
1.7,1,,Tiempo duración procesos judiciales,redactada,,,,,Se cumple con tiempos establecidos legalmente,Se cumple con tiempos establecidos legalmente,Se cumple con tiempos establecidos legalmente,2015
1.8,1,,Tasa de homicidios,numerica,2008,,24.8,20.0,15.0,10.0,4.0,
2.1,2,,Porcentaje de población bajo la línea de pobreza extrema nacional,numerica,2010,,10.1,7.6,5.0,3.5,2.0,
2.1·Masculino,2,2.1,Masculino,sin_meta,2010,,9.5,,,,,
2.1·Femenino,2,2.1,Femenino,sin_meta,2010,,10.8,,,,,
2.2,2,,Número de regiones con porcentaje de población bajo la línea de pobreza extrema nacional mayor que 5%,numerica,2010,,10.0,8.0,6.0,3.0,0.0,
2.3,2,,Porcentaje de población rural bajo la línea de pobreza extrema nacional,numerica,2010,,16.9,12.9,9.0,7.0,5.0,
2.3·Masculino,2,2.3,Masculino,sin_meta,2010,,15.6,,,,,
2.3·Femenino,2,2.3,Femenino,sin_meta,2010,,18.4,,,,,
2.4,2,,Porcentaje de población por debajo de la línea de pobreza moderada nacional,numerica,2010,,33.8,27.1,22.5,18.7,15.4,
2.4·Masculino,2,2.4,Masculino,sin_meta,2010,,32.4,,,,,
2.4·Femenino,2,2.4,Femenino,sin_meta,2010,,35.2,,,,,
2.5,2,,Número de regiones con porcentaje de población por debajo de la línea de pobreza moderada mayor que 20%,numerica,2010,,10.0,9.0,8.0,4.0,0.0,
2.6,2,,Porcentaje de población rural bajo la línea de pobreza moderada,numerica,2010,,46.8,36.6,26.5,23.3,20.0,
2.6·Masculino,2,2.6,Masculino,sin_meta,2010,,44.6,,,,,
2.6·Femenino,2,2.6,Femenino,sin_meta,2010,,49.1,,,,,
2.7,2,,Índice de GINI,numerica,2010,,0.49,0.485,0.46,0.44,0.42,
2.8,2,,Tasa neta de cobertura educación nivel inicial (sin matrícula de 3 y 4 años en línea de base),numerica,2010,,32.6,66.3,100.0,100.0,100.0,
2.8·Masculino,2,2.8,Masculino,sin_meta,2010,,33.6,,,,,
2.8·Femenino,2,2.8,Femenino,sin_meta,2010,,31.5,,,,,
